name,code_region,code,address_line_1,address_line_2,postal_code,city,country,full_address,latitude,longitude
Maure De Bretagne,GLB,LBR37168,20 rue De Paris,,35330,Val D Anast,FR,20 rue De Paris 35330 Val D Anast,47.890688,-1.991149
Mauriac,GOC,GOC85150,avenue Fernand Talandier,,15200,Mauriac,FR,avenue Fernand Talandier 15200 Mauriac,45.218928,2.335594
Mauron,GLB,LBR58127,10 rue Paul Maulion,,56430,Mauron,FR,10 rue Paul Maulion 56430 Mauron,48.083291,-2.285282
Maurs,GOC,GOC85151,2 place des Cloîtres,,15600,Maurs,FR,2 place des Cloîtres 15600 Maurs,44.710888,2.198138
Mauvezin,GOC,GOC89016,10 place De La Libération,,32120,Mauvezin,FR,10 place De La Libération 32120 Mauvezin,43.730885,0.878042
Mayenne,GCM,GCM01083,26 place Georges Clémenceau,,53100,Mayenne,FR,26 place Georges Clémenceau 53100 Mayenne,48.303031,-0.620396
Mazamet,GOC,GOC94118,rue De La Tonne,,81200,Mazamet,FR,rue De La Tonne 81200 Mazamet,43.490392,2.375919
Mazan,GMED,GSU85247,54 chemin Des Jacomettes,,84380,Mazan,FR,54 chemin Des Jacomettes 84380 Mazan,44.056854,5.125642
Meaux,GPVL,PVL01712,3 cours Raoult,,77100,Meaux,FR,3 cours Raoult 77100 Meaux,48.958825,2.882787
Melesse,GLB,LBR37173,11 place De L Eglise,,35520,Melesse,FR,11 place De L Eglise 35520 Melesse,48.217482,-1.697356
Melle,GCA,GCA03252,41 route De Poitiers,,79500,Saint Leger De La Martiniere,FR,41 route De Poitiers 79500 Saint Leger De La Martiniere,46.225075,-0.129406
Melun,GPVL,PVL01784,5 place De La Porte De Paris,,77000,Melun,FR,5 place De La Porte De Paris 77000 Melun,48.540193,2.65808
Mende,GOC,GOC84285,1 boulevard Lucien Arnault,,48000,Mende,FR,1 boulevard Lucien Arnault 48000 Mende,44.519653,3.497484
Menton,GMED,GSU06211,3 rue Prato,,6500,Menton,FR,3 rue Prato 06500 Menton,43.773824,7.499641
Mer,GPVL,PVL01235,46 avenue Maunoury,,41500,Mer,FR,46 avenue Maunoury 41500 Mer,47.704541,1.507735
Merdrignac,GLB,LBR24147,14 place Du Centre,,22230,Merdrignac,FR,14 place Du Centre 22230 Merdrignac,48.191649,-2.41485
